ID,PW,PH(V)/PW,SA,SA/PH(V)*PW,G_g,f2,f3,f4,f7,f9,f10,LD1,WC,IDNumber,Type
W145,1252,0.765974441,492736.583,0.41,15.3913947,0.151,0.122,0.102,0.058,0.047,0.045,0.038,0.821132075,259,C
W246,1221,0.714987715,451063.583,0.42,15.31013845,0.14,0.126,0.112,0.063,0.041,0.032,0.036,0.826174679,348,C
W272,1227,0.742461288,474192.417,0.42,15.21409013,0.131,0.088,0.068,0.055,0.053,0.052,0.039,0.81157622,366,C
W292,1230,1.004065041,543205.167,0.36,15.52882015,0.133,0.1,0.076,0.055,0.054,0.057,0.054,0.837102072,377,C
W321,1219,0.862182116,491275.333,0.38,15.27438512,0.138,0.104,0.08,0.053,0.053,0.055,0.036,0.814707542,395,C
2,1071,1.342670401,261607,0.17,15.44132545,0.172,0.091,0.057,0.038,0.038,0.048,0.085,0.818944699,2,D
6,739,1.271989175,162925.25,0.23,14.78217411,0.148,0.081,0.058,0.039,0.054,0.061,0.075,0.745497568,5,D
7,842,1.173396675,222355.083,0.27,15.01047869,0.129,0.083,0.061,0.042,0.053,0.062,0.066,0.74407696,6,D
8,778,1.026992288,188860.833,0.3,14.4352609,0.137,0.097,0.071,0.041,0.04,0.043,0.062,0.829440906,7,D
9,912,1.088815789,224910.583,0.25,14.78919787,0.13,0.079,0.059,0.041,0.053,0.067,0.057,0.738732679,8,D
11,912,1.400219298,318124.667,0.27,15.41282103,0.146,0.089,0.062,0.047,0.054,0.06,0.056,0.809871188,9,D
12,951,1.158780231,265940.333,0.25,14.8432276,0.13,0.086,0.067,0.049,0.054,0.06,0.061,0.806626314,10,D
28,519,1.807321773,126739.917,0.26,14.37043297,0.122,0.083,0.067,0.051,0.069,0.063,0.063,0.79057917,18,D
31,1039,0.952839269,203700.417,0.2,14.94907723,0.132,0.084,0.071,0.06,0.077,0.057,0.054,0.731866893,20,D
33,1168,1.054794521,374822.167,0.26,15.34917491,0.137,0.084,0.068,0.049,0.047,0.057,0.053,0.806393099,21,D
37,1097,1.085688241,262459.083,0.2,15.19381553,0.136,0.086,0.058,0.049,0.053,0.064,0.059,0.717967352,22,D
39,1222,0.929623568,297407,0.21,15.31318617,0.147,0.092,0.066,0.047,0.051,0.059,0.056,0.73367822,24,D
42,932,1.180257511,263522.667,0.26,14.95997324,0.135,0.088,0.066,0.051,0.051,0.052,0.055,0.744157692,26,D
43,943,1.107104984,265476.25,0.27,15.13750935,0.128,0.08,0.068,0.048,0.047,0.056,0.047,0.713377117,27,D
44,985,1.132994924,235769.583,0.21,14.98995048,0.123,0.077,0.052,0.037,0.045,0.066,0.072,0.71898883,28,D
45,650,1.503076923,138912.25,0.22,14.76020114,0.124,0.09,0.072,0.059,0.069,0.064,0.064,0.731765365,29,D
47,1041,1.330451489,277727.75,0.19,15.4425764,0.152,0.091,0.067,0.039,0.053,0.06,0.067,0.784363424,31,D
48,961,1.097814776,213707.167,0.21,14.7947882,0.16,0.095,0.067,0.046,0.044,0.05,0.068,0.731127679,32,D
52,879,1.153583618,211226.667,0.24,14.63506357,0.124,0.095,0.075,0.054,0.053,0.054,0.06,0.789379008,35,D
54,904,1.08960177,255902.833,0.29,14.68991613,0.122,0.079,0.067,0.048,0.045,0.054,0.055,0.809465879,37,D
57,1057,1.272469253,279617,0.2,15.34931043,0.166,0.107,0.076,0.039,0.038,0.039,0.067,0.80458221,40,D
58,993,1.087613293,256640.667,0.24,15.12227934,0.139,0.088,0.066,0.057,0.059,0.055,0.058,0.758583211,41,D
60,924,1.069264069,194094.083,0.21,14.71871257,0.131,0.082,0.069,0.052,0.049,0.051,0.052,0.752125638,43,D
64,892,1.078475336,240472.917,0.28,14.68218315,0.132,0.098,0.08,0.061,0.047,0.052,0.054,0.811125123,46,D
65,980,0.962244898,271769.25,0.29,14.70582552,0.143,0.101,0.072,0.041,0.039,0.05,0.058,0.825768241,47,D
67,824,1.251213592,150763.5,0.18,14.64139678,0.162,0.098,0.066,0.041,0.045,0.043,0.076,0.749460043,48,D
69,909,1.220022002,252675.5,0.25,14.9950342,0.124,0.091,0.07,0.052,0.052,0.052,0.054,0.764926355,50,D
71,987,1.105369807,296648.083,0.28,14.88720578,0.133,0.094,0.069,0.035,0.039,0.055,0.051,0.802133604,52,D
74,1002,1.439121756,305798.583,0.21,15.33711789,0.161,0.115,0.078,0.04,0.04,0.041,0.059,0.802993697,55,D
76,1058,1.265595463,359288.833,0.25,15.70984948,0.167,0.099,0.069,0.037,0.043,0.052,0.067,0.744854934,56,D
77,909,1.535753575,255018.667,0.2,15.41748205,0.156,0.1,0.072,0.059,0.046,0.038,0.067,0.763608413,57,D
78,1144,1.483391608,322647.667,0.17,15.54871805,0.185,0.1,0.057,0.05,0.037,0.022,0.076,0.746252622,58,D
80,1043,1.349952061,318239.25,0.22,15.55515599,0.142,0.089,0.063,0.046,0.059,0.065,0.057,0.753954523,60,D
81,1077,1.308263695,330103.417,0.22,15.65134579,0.155,0.093,0.075,0.049,0.042,0.039,0.07,0.745372596,61,D
89,909,0.812981298,210320.25,0.31,14.61020125,0.141,0.087,0.064,0.039,0.033,0.038,0.08,0.777685701,67,D
90,1218,1.140394089,399317.917,0.24,15.56927494,0.136,0.096,0.07,0.058,0.055,0.057,0.052,0.767177505,68,D
108,1002,1.357285429,320330.417,0.24,15.58181211,0.146,0.088,0.068,0.048,0.051,0.06,0.065,0.774850577,83,D
112,745,1.451006711,192339.833,0.24,14.77863468,0.138,0.093,0.066,0.043,0.045,0.056,0.06,0.797757277,87,D
116,688,1.540697674,209389.167,0.29,14.74642691,0.133,0.091,0.064,0.044,0.06,0.063,0.055,0.776801962,90,D
119,660,1.471212121,133001,0.21,14.24782346,0.151,0.094,0.07,0.046,0.054,0.057,0.076,0.786843854,92,D
122,773,1.359637775,160915.917,0.2,14.8474567,0.127,0.092,0.068,0.053,0.058,0.063,0.053,0.719750779,95,D
128,1063,1.52869238,312472.917,0.18,15.78054787,0.172,0.107,0.075,0.054,0.047,0.034,0.063,0.719319938,96,D
129,915,0.730054645,183924.083,0.3,14.446194,0.15,0.093,0.067,0.042,0.038,0.042,0.068,0.723660445,97,D
130,1228,1.018729642,340297.417,0.22,15.50971245,0.149,0.102,0.075,0.047,0.046,0.05,0.057,0.775541532,98,D
131,1020,1.368627451,305239.083,0.21,15.6032685,0.163,0.102,0.075,0.045,0.048,0.046,0.066,0.814341434,99,D
132,1101,1.363306085,385112.667,0.23,15.51031865,0.166,0.093,0.069,0.042,0.039,0.044,0.067,0.762101437,100,D
146,842,1.263657957,209250.25,0.23,14.88126001,0.137,0.089,0.072,0.04,0.052,0.052,0.065,0.744231851,113,D
147,960,1.151041667,295430.083,0.28,14.97406794,0.153,0.096,0.071,0.041,0.039,0.045,0.055,0.789452167,114,D
148,1224,0.964052288,352241.667,0.24,15.14853887,0.15,0.092,0.068,0.046,0.051,0.056,0.053,0.762554612,115,D
150,809,1.400494438,204907.75,0.22,14.83670869,0.144,0.104,0.079,0.049,0.045,0.043,0.063,0.806848472,117,D
152,905,1.190055249,227663.167,0.23,14.9106118,0.151,0.078,0.048,0.034,0.058,0.072,0.056,0.752941176,118,D
159,935,1.238502674,197693.333,0.18,14.89451662,0.144,0.072,0.048,0.032,0.037,0.044,0.065,0.719597712,120,D
160,803,1.257783313,175429.917,0.22,14.50214151,0.15,0.095,0.078,0.047,0.06,0.062,0.064,0.852852853,121,D
161,787,1.147395172,215932.833,0.3,14.69203419,0.138,0.092,0.069,0.045,0.043,0.045,0.051,0.785546613,122,D
163,945,1.332275132,277142.083,0.23,15.13609298,0.14,0.094,0.071,0.045,0.045,0.05,0.061,0.736772258,124,D
164,906,1.362030905,217102.083,0.19,15.15127434,0.139,0.077,0.053,0.035,0.038,0.044,0.069,0.71408355,125,D
165,867,1.192618224,183481.75,0.2,14.91023407,0.15,0.082,0.056,0.063,0.05,0.035,0.055,0.711922812,126,D
167,1156,0.941176471,334600.75,0.27,14.98603981,0.143,0.091,0.06,0.042,0.044,0.056,0.063,0.794859921,127,D
168,860,1.194186047,193050.667,0.22,14.66087494,0.137,0.095,0.076,0.052,0.047,0.047,0.059,0.756953073,128,D
169,688,1.235465116,108372.417,0.19,14.38864052,0.152,0.096,0.076,0.051,0.055,0.051,0.067,0.754936121,129,D
170,702,1.4002849,143305.417,0.21,14.63844828,0.144,0.084,0.061,0.043,0.053,0.047,0.071,0.729547808,130,D
174,1088,1.023897059,305597.583,0.25,15.09457857,0.138,0.083,0.06,0.044,0.045,0.049,0.057,0.758837662,134,D
175,927,1.190938511,314680.083,0.31,14.93871467,0.134,0.089,0.066,0.041,0.04,0.051,0.053,0.797709521,135,D
176,884,1.021493213,269187.417,0.34,14.6653162,0.129,0.09,0.072,0.04,0.043,0.048,0.049,0.818642412,136,D
179,924,1.392857143,343785.917,0.29,15.31548144,0.128,0.092,0.072,0.048,0.044,0.047,0.053,0.809370529,139,D
180,919,1.705114255,272760.75,0.19,15.61696616,0.17,0.111,0.085,0.044,0.038,0.034,0.069,0.716189378,140,D
183,957,1.925809822,291405.75,0.17,15.78534109,0.159,0.096,0.072,0.057,0.029,0.021,0.084,0.69581749,143,D
184,1000,1.237,214747.583,0.17,15.17666406,0.152,0.087,0.066,0.056,0.051,0.039,0.069,0.775331412,144,D
190,1191,1.211586902,358031.667,0.21,15.56705682,0.162,0.101,0.073,0.053,0.05,0.042,0.063,0.77581279,148,D
198,953,1.335781742,227657.417,0.19,15.27567322,0.165,0.093,0.059,0.034,0.056,0.065,0.075,0.779473726,154,D
200,1008,1.306547619,311741.333,0.23,15.46806016,0.141,0.083,0.063,0.042,0.051,0.059,0.065,0.744840764,156,D
201,1188,1.106060606,286993.583,0.18,15.42098243,0.157,0.106,0.081,0.049,0.051,0.042,0.066,0.766078281,157,D
202,1011,1.359050445,228891.25,0.16,15.37481305,0.163,0.094,0.068,0.039,0.046,0.042,0.083,0.784016365,158,D
W008,928,1.418103448,224695.583,0.18,14.85764411,0.147,0.086,0.064,0.053,0.052,0.04,0.067,0.827024759,166,D
W014,1182,1.11928934,386513.333,0.25,15.54539575,0.134,0.083,0.061,0.046,0.054,0.062,0.064,0.788011764,170,D
W015,1164,1.277491409,340276.25,0.2,15.50377729,0.141,0.092,0.073,0.055,0.052,0.049,0.061,0.788841658,171,D
W030,1078,1.159554731,319956.583,0.24,15.43960944,0.153,0.099,0.074,0.048,0.052,0.05,0.071,0.766737981,180,D
W032,750,1.981333333,217118.75,0.19,15.50815523,0.14,0.089,0.071,0.051,0.045,0.035,0.084,0.759488708,181,D
W034,1214,1.150741351,423417.833,0.25,15.66373986,0.144,0.093,0.071,0.043,0.046,0.044,0.051,0.738050484,182,D
W039,827,1.376058041,204935.333,0.22,15.13938169,0.136,0.089,0.064,0.061,0.071,0.062,0.065,0.737686038,185,D
W040,808,1.138613861,225853.5,0.3,14.77667659,0.118,0.074,0.059,0.046,0.052,0.064,0.054,0.795643092,186,D
W043,864,1.037037037,271408.75,0.35,14.72340121,0.136,0.097,0.072,0.046,0.035,0.044,0.048,0.805645009,187,D
W044,979,1.02247191,328698.917,0.34,14.92432163,0.132,0.091,0.068,0.054,0.054,0.051,0.046,0.811688839,188,D
W054,999,1.443443443,308203.667,0.21,15.49465382,0.162,0.111,0.083,0.049,0.037,0.035,0.069,0.776378695,190,D
W056,909,1.00880088,232427.25,0.28,14.82370957,0.15,0.089,0.066,0.038,0.034,0.043,0.069,0.784990008,192,D
W059,878,1.530751708,302959.75,0.26,15.23232519,0.148,0.098,0.074,0.038,0.039,0.044,0.071,0.788444345,195,D
W063,899,1.36596218,253648.583,0.23,15.18645517,0.17,0.104,0.074,0.04,0.036,0.043,0.063,0.75920484,198,D
W065,1068,1.288389513,328838.083,0.22,15.34729142,0.148,0.098,0.071,0.047,0.05,0.056,0.056,0.771373023,199,D
W070,985,1.372588832,227776.083,0.17,15.3699723,0.16,0.106,0.08,0.039,0.047,0.037,0.076,0.79161311,202,D
W072,857,1.32672112,215492.75,0.22,14.67709748,0.143,0.097,0.069,0.044,0.043,0.042,0.063,0.803744623,203,D
W073,850,1.127058824,209042.917,0.26,15.008921,0.12,0.092,0.071,0.041,0.035,0.042,0.065,0.749919829,204,D
W076,1113,1.282120395,331164.833,0.21,15.4552956,0.141,0.09,0.069,0.039,0.048,0.059,0.065,0.752936349,207,D
W077,1156,1.128027682,317611.25,0.21,15.55701558,0.12,0.072,0.058,0.048,0.044,0.05,0.071,0.763188918,208,D
W078,773,1.203104787,193967.5,0.27,14.55945105,0.134,0.095,0.075,0.039,0.042,0.045,0.055,0.812572669,209,D
W079,992,1.228830645,200007.75,0.17,15.10246994,0.15,0.098,0.072,0.047,0.04,0.039,0.084,0.748877883,210,D
W080,797,1.65370138,233367.917,0.22,15.42713069,0.149,0.099,0.069,0.051,0.042,0.043,0.067,0.716345104,211,D
W083,858,1.454545455,284742.667,0.27,14.94279847,0.129,0.084,0.066,0.044,0.038,0.047,0.054,0.79345973,212,D
W085,741,1.488529015,144830,0.18,14.75750874,0.147,0.081,0.067,0.052,0.056,0.041,0.07,0.754672018,214,D
W086,932,1.055793991,160933.333,0.18,14.68840915,0.148,0.092,0.058,0.044,0.049,0.059,0.065,0.774750028,215,D
W087,802,1.250623441,175205.167,0.22,14.46526513,0.144,0.094,0.073,0.048,0.039,0.039,0.077,0.818871046,216,D
W089,963,1.349948079,257385.5,0.21,15.44075687,0.133,0.091,0.067,0.057,0.059,0.057,0.081,0.713789027,217,D
W090,879,1.483503982,210353.75,0.18,15.30217587,0.141,0.088,0.064,0.053,0.052,0.046,0.086,0.795143285,218,D
W093,849,1.4393404,204918.75,0.2,15.29962947,0.158,0.108,0.079,0.056,0.037,0.029,0.084,0.743412484,221,D
W094,1019,1.57016683,295294.25,0.18,15.39883426,0.142,0.079,0.054,0.037,0.047,0.066,0.074,0.779679662,222,D
W095,1073,1.373718546,355921.333,0.23,15.49736668,0.161,0.101,0.077,0.042,0.046,0.049,0.065,0.756192959,223,D
W096,1195,1.353138075,314495.75,0.16,15.43567393,0.138,0.085,0.063,0.045,0.056,0.067,0.075,0.77062412,224,D
W097,1215,1.105349794,365394.583,0.22,15.53007301,0.147,0.099,0.067,0.042,0.039,0.043,0.055,0.750589042,225,D
W101,1200,1.391666667,382799.917,0.19,15.65448649,0.138,0.084,0.063,0.049,0.05,0.053,0.071,0.72998325,229,D
W108,1091,1.398716774,291479.5,0.18,15.60163605,0.159,0.093,0.074,0.042,0.042,0.041,0.09,0.799199422,235,D
W116,838,1.585918854,245644.333,0.22,14.99301055,0.15,0.091,0.074,0.058,0.051,0.044,0.057,0.828267886,239,D
W122,1128,1.238475177,320146,0.2,15.47222757,0.147,0.098,0.072,0.04,0.051,0.055,0.062,0.795156742,243,D
W124,1222,1.220949264,323140.667,0.18,15.42834995,0.174,0.096,0.063,0.054,0.044,0.036,0.082,0.808529156,244,D
W126,786,1.695928753,198402.25,0.19,15.25834545,0.157,0.096,0.071,0.051,0.04,0.036,0.08,0.767812759,246,D
W138,648,1.447530864,147308,0.24,14.78250803,0.146,0.098,0.076,0.042,0.04,0.042,0.067,0.76391027,254,D
W142,1220,1.318032787,354758.417,0.18,15.65765434,0.149,0.089,0.065,0.051,0.06,0.053,0.058,0.74492428,256,D
W146,1069,1.376987839,340150.333,0.22,15.44501574,0.161,0.098,0.068,0.041,0.052,0.056,0.077,0.832721254,260,D
W147,980,1.160204082,295490.75,0.27,15.17252506,0.144,0.092,0.068,0.045,0.045,0.047,0.055,0.785960214,261,D
W149,757,1.480845443,197267.167,0.23,14.88603108,0.13,0.088,0.066,0.042,0.049,0.069,0.066,0.765873969,263,D
W150,953,1.033578174,256253.833,0.27,14.7316032,0.138,0.097,0.071,0.043,0.036,0.037,0.061,0.81920874,264,D
W151,762,1.286089239,156951.833,0.21,14.65735364,0.163,0.09,0.067,0.046,0.047,0.035,0.071,0.754990389,265,D
W152,897,1.227424749,252450.833,0.26,14.94077405,0.136,0.083,0.068,0.053,0.048,0.046,0.051,0.76966336,266,D
W153,1032,0.923449612,244641.083,0.25,14.96380164,0.14,0.086,0.061,0.043,0.045,0.047,0.054,0.738377393,267,D
W155,826,1.245762712,148464.25,0.17,14.66595521,0.126,0.073,0.064,0.058,0.063,0.062,0.077,0.697884554,269,D
W157,987,1.137791287,239085.5,0.22,15.02158173,0.144,0.084,0.058,0.041,0.047,0.055,0.063,0.778783784,270,D
W158,1114,1.035906643,278147.833,0.22,14.88691913,0.134,0.081,0.06,0.034,0.038,0.055,0.052,0.759464737,271,D
W159,679,1.590574374,175779.25,0.24,14.72499085,0.135,0.088,0.07,0.045,0.045,0.051,0.061,0.745142379,272,D
W160,818,1.289731051,181818.833,0.21,14.54567567,0.14,0.087,0.07,0.068,0.073,0.053,0.063,0.79110485,273,D
W161,768,1.334635417,149867.75,0.19,14.69761077,0.146,0.095,0.068,0.036,0.035,0.038,0.08,0.731077147,274,D
W162,658,1.548632219,189803.75,0.28,14.48415212,0.115,0.097,0.079,0.065,0.065,0.071,0.04,0.839105699,275,D
W163,850,1.051764706,209318.333,0.28,14.91913441,0.126,0.085,0.064,0.038,0.056,0.068,0.054,0.711877395,276,D
W165,683,1.396778917,151584.917,0.23,14.53059962,0.144,0.104,0.061,0.063,0.05,0.044,0.067,0.730726257,277,D
W170,789,1.172370089,215594.333,0.3,14.85757701,0.122,0.08,0.059,0.043,0.064,0.074,0.06,0.743355874,282,D
W171,838,1.12052506,151069,0.19,14.68403126,0.124,0.075,0.067,0.055,0.065,0.056,0.074,0.723831301,283,D
W174,822,1.309002433,179803.083,0.2,14.46024302,0.147,0.092,0.063,0.044,0.048,0.051,0.07,0.823191838,286,D
W176,992,1.173387097,337284.583,0.29,14.97640108,0.133,0.081,0.066,0.044,0.04,0.046,0.049,0.786895911,288,D
W179,620,1.243548387,126866.75,0.27,14.66226166,0.122,0.078,0.063,0.051,0.053,0.063,0.06,0.770058104,290,D
W180,947,1.048574446,180095.75,0.19,14.78207233,0.123,0.072,0.059,0.037,0.037,0.048,0.068,0.777977896,291,D
W182,673,1.506686478,177535.083,0.26,14.80375758,0.133,0.088,0.068,0.053,0.047,0.059,0.059,0.792340092,292,D
W183,775,1.12516129,220842.083,0.33,14.69567378,0.145,0.091,0.069,0.046,0.035,0.035,0.066,0.793139474,293,D
W184,901,0.937846837,192181.333,0.25,14.79514234,0.121,0.088,0.071,0.045,0.042,0.042,0.057,0.766640699,294,D
W185,753,1.262948207,232484.833,0.32,14.63276536,0.132,0.084,0.057,0.036,0.034,0.046,0.058,0.784634689,295,D
W186,726,1.378787879,150378.167,0.21,14.54591736,0.149,0.097,0.069,0.055,0.051,0.047,0.07,0.754706019,296,D
W187,923,1.088840737,168218,0.18,14.65144315,0.151,0.099,0.073,0.058,0.067,0.06,0.064,0.748270078,297,D
W188,840,1.208333333,213386,0.25,15.02798705,0.137,0.08,0.058,0.035,0.043,0.046,0.069,0.747160203,298,D
W189,783,1.260536398,193172.583,0.25,14.77185553,0.122,0.078,0.052,0.037,0.041,0.053,0.061,0.763405614,299,D
W190,854,1.132318501,206056.833,0.25,14.84020582,0.126,0.082,0.059,0.048,0.051,0.058,0.06,0.796640457,300,D
W194,814,1.507371007,216194.75,0.22,14.89453662,0.13,0.085,0.061,0.041,0.041,0.049,0.064,0.727928039,304,D
W197,986,1.085192698,194231.583,0.18,14.86554603,0.151,0.084,0.057,0.05,0.049,0.056,0.073,0.769616315,306,D
W198,961,1.086368366,247874.583,0.25,14.75190377,0.135,0.09,0.069,0.05,0.046,0.052,0.059,0.811498641,307,D
W200,657,1.563165906,136730.167,0.2,14.70028534,0.136,0.098,0.074,0.054,0.049,0.061,0.067,0.760664229,309,D
W205,1162,1.167814114,314984.583,0.2,15.5398161,0.147,0.099,0.082,0.055,0.053,0.044,0.059,0.75993906,313,D
W207,758,1.534300792,213314.75,0.24,14.93059614,0.13,0.076,0.061,0.051,0.058,0.068,0.058,0.752175426,315,D
W208,807,1.188351921,216083.917,0.28,14.54333622,0.137,0.088,0.075,0.049,0.06,0.068,0.048,0.784636774,316,D
W211,873,1.199312715,198559.583,0.22,15.01583938,0.142,0.095,0.064,0.044,0.052,0.048,0.077,0.720852575,318,D
W212,1226,1.097879282,366611.333,0.22,15.38181742,0.16,0.103,0.074,0.043,0.051,0.045,0.061,0.765806299,319,D
W215,918,1.404139434,284614,0.24,15.2244281,0.156,0.11,0.077,0.05,0.046,0.048,0.066,0.799358563,322,D
W216,878,1.306378132,207554.417,0.21,14.65972327,0.142,0.094,0.071,0.055,0.051,0.056,0.063,0.800292113,323,D
W219,980,1.544897959,266719.167,0.18,15.40286723,0.128,0.088,0.072,0.064,0.046,0.05,0.067,0.734106553,326,D
W221,833,1.253301321,312668.833,0.36,14.99328663,0.123,0.088,0.071,0.044,0.043,0.046,0.047,0.815958753,327,D
W223,958,1.176409186,303457.167,0.28,15.21991355,0.137,0.102,0.075,0.048,0.041,0.043,0.059,0.730005609,328,D
W224,750,1.390666667,206243,0.26,15.02245943,0.134,0.078,0.054,0.039,0.056,0.069,0.061,0.738498014,329,D
W230,816,1.193627451,220716.333,0.28,14.58032606,0.139,0.089,0.066,0.04,0.044,0.049,0.056,0.813183227,333,D
W234,1077,1.025069638,283728.333,0.24,14.97403464,0.13,0.09,0.069,0.044,0.052,0.068,0.058,0.73772171,336,D
W235,1128,1.071808511,260064.083,0.19,15.48270456,0.157,0.102,0.079,0.054,0.042,0.04,0.066,0.715604091,337,D
W236,913,1.205914567,214689.917,0.21,14.90715899,0.139,0.09,0.07,0.047,0.04,0.044,0.056,0.69513217,338,D
W238,784,1.368622449,183053.667,0.22,15.02450026,0.131,0.088,0.068,0.047,0.048,0.054,0.076,0.772104514,340,D
W239,616,1.303571429,139746.75,0.28,14.64105192,0.126,0.085,0.065,0.046,0.052,0.052,0.063,0.765435427,341,D
W240,718,1.564066852,138698,0.17,14.63564242,0.148,0.093,0.073,0.045,0.039,0.05,0.068,0.761315458,342,D
W241,911,1.165751921,222073,0.23,14.91102124,0.144,0.089,0.064,0.044,0.041,0.044,0.063,0.789191489,343,D
W245,915,1.272131148,214455.833,0.2,15.01954651,0.137,0.09,0.064,0.046,0.044,0.047,0.075,0.807846277,347,D
W251,928,1.213362069,233339.417,0.22,15.08248898,0.14,0.095,0.068,0.043,0.048,0.054,0.065,0.784650492,350,D
W253,1029,1.434402332,314859.833,0.21,15.23751708,0.164,0.096,0.072,0.048,0.051,0.046,0.057,0.785076416,351,D
W255,969,1.539731682,301592.083,0.21,15.39236109,0.142,0.102,0.074,0.048,0.049,0.055,0.068,0.774640189,352,D
W258,1082,1.171903882,327352.667,0.24,15.4890408,0.14,0.087,0.063,0.048,0.048,0.055,0.061,0.790336929,354,D
W259,980,1.230612245,251774.333,0.21,15.09052122,0.16,0.096,0.073,0.047,0.052,0.045,0.051,0.727679882,355,D
W260,1030,1.433009709,310369.5,0.2,15.33111077,0.16,0.107,0.076,0.038,0.043,0.041,0.063,0.788395725,356,D
W261,792,1.825757576,218411.083,0.19,15.46464876,0.161,0.093,0.058,0.04,0.042,0.056,0.098,0.722270257,357,D
W264,890,1.51011236,269481.25,0.23,15.48079467,0.141,0.091,0.073,0.057,0.046,0.044,0.068,0.725014611,359,D
W265,871,0.987370838,178911.833,0.24,14.99906254,0.122,0.088,0.074,0.05,0.044,0.049,0.063,0.746946617,360,D
W267,837,1.298685783,147163.75,0.16,14.81180824,0.126,0.094,0.067,0.06,0.052,0.053,0.056,0.678810879,362,D
W268,1058,0.97637051,218542.75,0.2,14.86059381,0.136,0.08,0.06,0.052,0.044,0.041,0.072,0.722643467,363,D
W270,654,1.634556575,168974.167,0.24,14.83022087,0.111,0.09,0.065,0.047,0.059,0.06,0.059,0.703215318,364,D
W271,862,1.350348028,275780.917,0.27,14.86531672,0.138,0.101,0.069,0.04,0.04,0.059,0.049,0.812177618,365,D
W277,1138,1.223198594,333366.167,0.21,15.445299,0.146,0.094,0.067,0.043,0.038,0.042,0.072,0.750121215,371,D
W286,990,1.387878788,303702.75,0.22,15.29723894,0.135,0.087,0.065,0.045,0.054,0.059,0.063,0.784846602,374,D
W290,945,1.04021164,249839.333,0.27,15.02328298,0.13,0.081,0.059,0.039,0.046,0.048,0.055,0.751388982,376,D
W293,902,1.089800443,320070.083,0.36,14.88040458,0.121,0.076,0.062,0.04,0.04,0.045,0.056,0.793373061,378,D
W295,739,1.223274696,147096.167,0.22,14.44324501,0.145,0.103,0.076,0.045,0.041,0.043,0.078,0.782998858,380,D
W303,1129,1.241806909,318185.583,0.2,15.3293518,0.143,0.103,0.076,0.049,0.056,0.052,0.051,0.779934245,383,D
W311,705,1.323404255,179708,0.27,14.64356695,0.113,0.084,0.067,0.049,0.047,0.055,0.051,0.792748516,388,D
W314,836,1.145933014,173959.75,0.22,14.82937596,0.128,0.079,0.058,0.044,0.045,0.061,0.065,0.780006829,389,D
W315,768,1.334635417,196071.917,0.25,14.84472978,0.133,0.098,0.079,0.046,0.048,0.05,0.051,0.773100616,390,D
W316,855,1.302923977,181299.333,0.19,14.6951158,0.125,0.097,0.079,0.049,0.039,0.039,0.074,0.787850024,391,D
W317,841,1.179548157,215913.5,0.26,14.78688762,0.127,0.081,0.067,0.045,0.051,0.057,0.058,0.768914863,392,D
W327,863,1.122827346,194625,0.23,14.52474481,0.157,0.101,0.069,0.045,0.048,0.062,0.068,0.799574694,398,D
W328,780,1.580769231,239394.833,0.25,15.24706246,0.138,0.089,0.066,0.047,0.038,0.048,0.066,0.742725509,399,D
W330,984,1.299796748,220758.917,0.18,15.34093563,0.149,0.088,0.067,0.035,0.045,0.056,0.076,0.786923986,401,D
